timestamp,visible_stores_futuro
2026-02-11 16:00:00-05:00,5003183
2026-02-11 17:00:00-05:00,5004047
2026-02-11 18:00:00-05:00,5022664
2026-02-11 19:00:00-05:00,4966654
2026-02-11 20:00:00-05:00,4858424
2026-02-11 21:00:00-05:00,4513763
2026-02-11 22:00:00-05:00,3447376
2026-02-11 23:00:00-05:00,1728649
2026-02-12 00:00:00-05:00,747359
2026-02-12 01:00:00-05:00,611659
2026-02-12 02:00:00-05:00,464359
2026-02-12 03:00:00-05:00,349190
2026-02-12 04:00:00-05:00,247299
2026-02-12 05:00:00-05:00,152780
2026-02-12 06:00:00-05:00,16292
2026-02-12 07:00:00-05:00,46987
2026-02-12 08:00:00-05:00,359415
2026-02-12 09:00:00-05:00,1321885
2026-02-12 10:00:00-05:00,2408067
2026-02-12 11:00:00-05:00,3150777
2026-02-12 12:00:00-05:00,3929808
2026-02-12 13:00:00-05:00,4701136
2026-02-12 14:00:00-05:00,5112284
2026-02-12 15:00:00-05:00,5072900
