timestamp,visible_stores
2026-02-01 06:00:00-05:00,14308
2026-02-01 07:00:00-05:00,33525
2026-02-01 08:00:00-05:00,327085
2026-02-01 09:00:00-05:00,1036630
2026-02-01 10:00:00-05:00,1836326
2026-02-01 11:00:00-05:00,2490757
2026-02-01 12:00:00-05:00,3277012
2026-02-01 13:00:00-05:00,4125768
2026-02-01 14:00:00-05:00,4868588
2026-02-01 15:00:00-05:00,5159277
2026-02-01 16:00:00-05:00,5145330
2026-02-01 17:00:00-05:00,5006864
2026-02-01 18:00:00-05:00,4740885
2026-02-01 19:00:00-05:00,4439538
2026-02-01 20:00:00-05:00,4091524
2026-02-01 21:00:00-05:00,3429358
2026-02-01 22:00:00-05:00,2421487
2026-02-01 23:00:00-05:00,1393336
2026-02-02 00:00:00-05:00,549754
2026-02-02 01:00:00-05:00,460214
2026-02-02 02:00:00-05:00,370675
2026-02-02 03:00:00-05:00,281135
2026-02-02 04:00:00-05:00,191596
2026-02-02 05:00:00-05:00,102057
2026-02-02 06:00:00-05:00,12517
2026-02-02 07:00:00-05:00,34778
2026-02-02 08:00:00-05:00,324775
2026-02-02 09:00:00-05:00,1058921
2026-02-02 10:00:00-05:00,1781757
2026-02-02 11:00:00-05:00,2345572
2026-02-02 12:00:00-05:00,3022422
2026-02-02 13:00:00-05:00,3700440
2026-02-02 14:00:00-05:00,4273888
2026-02-02 15:00:00-05:00,4409257
2026-02-02 16:00:00-05:00,4171463
2026-02-02 17:00:00-05:00,4026047
2026-02-02 18:00:00-05:00,3860243
2026-02-02 19:00:00-05:00,3788507
2026-02-02 20:00:00-05:00,3473206
2026-02-02 21:00:00-05:00,2972147
2026-02-02 22:00:00-05:00,2243115
2026-02-02 23:00:00-05:00,1197262
2026-02-03 00:00:00-05:00,476856
2026-02-03 01:00:00-05:00,399581
2026-02-03 02:00:00-05:00,322306
2026-02-03 03:00:00-05:00,245031
2026-02-03 04:00:00-05:00,167757
2026-02-03 05:00:00-05:00,90482
2026-02-03 06:00:00-05:00,13207
2026-02-03 07:00:00-05:00,39427
2026-02-03 08:00:00-05:00,375473
2026-02-03 09:00:00-05:00,1252865
2026-02-03 10:00:00-05:00,2147166
2026-02-03 11:00:00-05:00,2842164
2026-02-03 12:00:00-05:00,3835106
2026-02-03 13:00:00-05:00,4584471
2026-02-03 14:00:00-05:00,5223455
2026-02-03 15:00:00-05:00,5566835
2026-02-03 16:00:00-05:00,5636293
2026-02-03 17:00:00-05:00,5513262
2026-02-03 18:00:00-05:00,5207006
2026-02-03 19:00:00-05:00,4949668
2026-02-03 20:00:00-05:00,4592998
2026-02-03 21:00:00-05:00,3906688
2026-02-03 22:00:00-05:00,2909329
2026-02-03 23:00:00-05:00,1558416
2026-02-04 00:00:00-05:00,591766
2026-02-04 01:00:00-05:00,495457
2026-02-04 02:00:00-05:00,399148
2026-02-04 03:00:00-05:00,302839
2026-02-04 04:00:00-05:00,206530
2026-02-04 05:00:00-05:00,110221
2026-02-04 06:00:00-05:00,13912
2026-02-04 07:00:00-05:00,38992
2026-02-04 08:00:00-05:00,392741
2026-02-04 09:00:00-05:00,1335388
2026-02-04 10:00:00-05:00,2333671
2026-02-04 11:00:00-05:00,3134770
2026-02-04 12:00:00-05:00,3954459
2026-02-04 13:00:00-05:00,4775185
2026-02-04 14:00:00-05:00,5436711
2026-02-04 15:00:00-05:00,5786358
2026-02-04 16:00:00-05:00,5849748
2026-02-04 17:00:00-05:00,5738583
2026-02-04 18:00:00-05:00,5493419
2026-02-04 19:00:00-05:00,5222367
2026-02-04 20:00:00-05:00,4777809
2026-02-04 21:00:00-05:00,4050974
2026-02-04 22:00:00-05:00,3071795
2026-02-04 23:00:00-05:00,1697353
2026-02-05 00:00:00-05:00,1134935
2026-02-05 01:00:00-05:00,947583
2026-02-05 02:00:00-05:00,760231
2026-02-05 03:00:00-05:00,572880
2026-02-05 04:00:00-05:00,385528
2026-02-05 05:00:00-05:00,198176
2026-02-05 06:00:00-05:00,10824
2026-02-05 07:00:00-05:00,38142
2026-02-05 08:00:00-05:00,397713
2026-02-05 09:00:00-05:00,1353325
2026-02-05 10:00:00-05:00,2357894
2026-02-05 11:00:00-05:00,3216336
